accession,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute7_link,attribute8
186,Pre-op (Non-Cardiac Surgery),Known arrhythmia (e.g. atrial fibrillation) - without evidence of heart failure or murmur,Not Indicated,-,-,-,2024 BSE Poster - Outpatient Triage,-,-
187,Pre-op (Non-Cardiac Surgery),Routine non-targeted with no symptoms or signs of cardiovascular pathology,Not Indicated,-,-,-,SOP - Pre-operative Echo,-,-
188,Pre-op (Non-Cardiac Surgery),Murmur asymptomatic age <60 and for low risk surgery,Not Indicated,-,-,-,SOP - Pre-operative Echo,-,-
189,Pulmonary Disease,High suspicion of pulmonary hypertentsion (high burden PE other lung disease) - treatment dependent on echo findings,Inpatient - Routine,-,-,-,(BHI local policy - reference required),-,-
190,Pulmonary Disease,PE with supected RV impairement and/or high suspicion of developing PHT,Outpatient,Routine,1,1,2024 BSE Poster - Outpatient Triage,-,-
191,Pulmonary Disease,Persistent or positional oxygen desaturation (bubble-contrast echo to evaluate for a right to left shunt),Outpatient,Routine,1,1,2024 BSE Poster - Outpatient Triage,-,-
192,Pulmonary Disease,Follow-up assessment for PHT - high probability (high burden PE abnormal CTEPH etc),Outpatient,3 months,1,1,2024 BSE Poster - Outpatient Triage,-,-
193,Pulmonary Disease,Lung disease with suspected heart failure (see Heart Failure guidance),(see Heart Failure),-,-,-,2024 BSE Poster - Outpatient Triage,-,-
194,Pulmonary Disease,Repeat assessment for PHT - low probability no risk factors for PHT or normal CTEPH,Not Indicated,-,-,-,2024 BSE Poster - Outpatient Triage,-,-
195,Pulmonary Disease,Routine assessment for RV strain - low burden of PE and/or no findigns suggestive of heart failure,Not Indicated,-,-,-,(BHI local policy - reference required),-,-
196,Pulmonary Regurgitation,Mild PR - normal valve,Not Indicated,-,-,-,2024 BSE Poster - Valve Disease,-,-
197,Pulmonary Regurgitation,Mod PR - asymptomatic (abnormal valve RV impairement/dilatation dilated pulmonary artery or previous valvuloplasty),Outpatient,12-24 months,1,1,2024 BSE Poster - Valve Disease,-,-
198,Pulmonary Regurgitation,Sev PR - asymptomatic,Outpatient,12 months,1,1,2024 BSE Poster - Valve Disease,-,-
199,Pulmonary Regurgitation,Any PR - ePASP >50mmHg and/or RV impairment,Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
200,Pulmonary Regurgitation,Any PR - Symptoms (syncope chest pain breathlesness pnd oedema etc),Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
201,Pulmonary Stenosis,Mild PS (likely congenitally abnormal valve),Outpatient,3-5 years,1,1,2024 BSE Poster - Valve Disease,-,-
202,Pulmonary Stenosis,Mod PS - asymptomatic (likely congenitally abnormal valve),Outpatient,12-24 months,1,1,2024 BSE Poster - Valve Disease,-,-
203,Pulmonary Stenosis,Sev PS - asymptomatic,Outpatient,12 months,1,1,2024 BSE Poster - Valve Disease,-,-
204,Pulmonary Stenosis,Any PS - ePASP >50mmHg and/or RV impairment,Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
205,Pulmonary Stenosis,Any PS - Symptoms (syncope chest pain breathlesness pnd oedema etc),Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
206,SDEC,Any request that would otherwise warrant inpatient echo (search for pathology/clinical question),Specific slots,SDEC (2x daily),-,-,(BHI local policy - reference required),-,-
207,SDEC,Any request that would not normally warrant inpatient echo (search for pathology/clinical question),Not Indicated,-,-,-,(BHI local policy - reference required),-,-
208,Syncope,Inpatient: Syncope with exercise or documented VT/VF,Inpatient - Priority,-,-,-,(BHI local policy - reference required),-,-
209,Syncope,Inpatient: Syncope with known Moderate or Severe valve lesion - no recent echo (within 12 months),Inpatient - Routine,-,-,-,(BHI local policy - reference required),-,-
210,Syncope,Inpatient: Syncope with uninvestigated murmur or 1st degree relative with ICC,Inpatient - Routine,-,-,-,(BHI local policy - reference required),-,-
211,Syncope,Outpatient: Syncope with exercise or documented VT/VF,Outpatient,Urgent (<2 weeks),5,5,2024 BSE Poster - Outpatient Triage,-,-
212,Syncope / Palpitations,Syncope or palpitations with known mild Aortic or Mitral valve lesion - no echo in 12 months,Outpatient,Routine,1,1,(BHI local policy - reference required),-,-
213,Syncope / Palpitations,Syncope or palpitations with uninvestigated murmur or 1st degree relative with ICC,CDC,Routine,8,1,2024 BSE Poster - Outpatient Triage,-,-
214,Syncope / Palpitations,Syncope or palpitations with low-risk ECG changes (e.g. LVH LBBB etc),CDC,Routine,8,1,(BHI local policy - reference required),-,-
215,Syncope / Palpitations,No ECG proof of arrhythmia or clinical findings suggestive of structural heart disease,Not Indicated,-,-,-,2024 BSE Poster - Outpatient Triage,-,-
216,Syncope / Palpitations,No murmur no 1st degree relative with ICC - no significant ECG Changes (RBBB etc),Not Indicated,-,-,-,2024 BSE Poster - Outpatient Triage,-,-
217,Syncope / Palpitations,Suspected vasovagal hypotensive postural or situational cause - no significant ECG Changes (RBBB etc),Not Indicated,-,-,-,2024 BSE Poster - Outpatient Triage,-,-
218,Syncope / Palpitations,Kown severe AS with existing plan for no further intervention,Not Indicated,-,-,-,BHI Inaptient Triage Sheet,-,-
219,Tricuspid Regurgitation,Mild TR - normal valve anatomy and normal RV size/function,Not Indicated,-,-,-,2024 BSE Poster - Valve Disease,-,-
220,Tricuspid Regurgitation,Mild TR - abnormal valve and/or impaired/dilated RV,Outpatient,3-5 years,1,1,2024 BSE Poster - Valve Disease,-,-
221,Tricuspid Regurgitation,Mod TR - asymptomatic,Outpatient,12-24 months,1,1,2024 BSE Poster - Valve Disease,-,-
222,Tricuspid Regurgitation,Sev TR - asymptomatic,Outpatient,6-12 months,1,1,2024 BSE Poster - Valve Disease,-,-
223,Tricuspid Regurgitation,Any TR - Symptoms (syncope chest pain breathlesness pnd oedema etc),Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
224,Tricuspid Regurgitation,Any TR - ePASP >50mmHg and/or RV impairment,Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
225,Tricuspid Valve Repair,Any TV Repair - Post-procedure baseline (pre-discharge),Inpatient - Priority,-,-,-,(BHI local policy - reference required),-,-
225,Tricuspid Valve Repair,Any TV Repair - continued follow-up,Outpatient,(as requested),-,-,(BHI local policy - reference required),-,-
226,Tricuspid Valve Repair,Any TV Repair - Symptoms (syncope chest pain breathlesness pnd oedema etc),Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
227,Tricuspid Valve Repair,Any TV Repair - ePASP >50mmHg and/or RV impairment,Escalate,Cardiology Review,-,-,2024 BSE Poster - Valve Disease,-,-
